연번,비상소화장치일련번호,안전센터ID,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,geometry,lon,lat
2098,110085314,1108508,7042,191617.4009,546219.404,영등포-현장-0000,52201,N,20240924174257,POINT (126.90518201796026 37.5154167045031),126.90518201796026,37.5154167045031
2099,110085313,1108508,7043,191552.9153,546173.0328,영등포-현장-0000,52201,N,20240924174257,POINT (126.90445313643477 37.51499831101904),126.90445313643477,37.51499831101904
2100,110084865,1103104,5128,197008.8371,552535.8753,종로-신교-2-42(?,52201,N,20240920172927,POINT (126.96614035099799 37.57236127567473),126.96614035099799,37.57236127567473
2101,110084872,1118105,5129,212643.468,548580.375,강동-길동-000049,52201,N,20240928171131,POINT (127.1430543924236 37.5366405152489),127.1430543924236,37.5366405152489
2102,110084970,1102508,5451,193611.0035,544797.1435,동작-현장-000400,52201,N,20240910170747,POINT (126.92774456270811 37.502618029777054),126.92774456270811,37.502618029777054
2103,110085076,1122104,6081,206754.368,555680.0061,중랑-중화-4-21(?,52201,N,20240917171317,POINT (127.07648769023167 37.60066974161989),127.07648769023167,37.60066974161989
2104,110085198,1107105,5769,205886.0765,555100.0563,동대문-휘경-83(?,52201,N,20240925172028,POINT (127.06665034497196 37.5954504116291),127.06665034497196,37.5954504116291
2105,110085201,1107103,5770,204516.5564,553572.7865,동대문-전농-81(?,52201,N,20240923174024,POINT (127.05113332564139 37.58169756789364),127.05113332564139,37.58169756789364
2106,110085294,1107508,7044,206001.2593,552843.5384,동대문-현장-087(,52201,N,20240912172010,POINT (127.0679361248719 37.575118612120434),127.0679361248719,37.575118612120434
2107,110085295,1107508,7045,206000.7168,552730.6673,동대문-현장-088(,52201,N,20240704084318,POINT (127.06792905985101 37.57410165372707),127.06792905985101,37.57410165372707
2108,110085330,1127302,7047,202675.0369,551422.1242,성동-왕십-000029,52201,N,20240915171258,POINT (127.03027707452232 37.56232739829874),127.03027707452232,37.56232739829874
2109,110085329,1127302,7049,202512.2503,551261.0775,성동-왕십-000027,52201,N,20240915171258,POINT (127.02843404327402 37.56087683113573),127.02843404327402,37.56087683113573
2110,110085367,1108508,7050,190372.1586,546177.2987,영등포-현장-0000,52201,N,20240924174257,POINT (126.89109729830327 37.51502518799963),126.89109729830327,37.51502518799963
2111,110085355,1103104,7056,197125.3172,553428.0635,종로-신교-2-43(?,52201,N,20241013171004,POINT (126.96745539497354 37.58040021128673),126.96745539497354,37.58040021128673
2112,110085350,1119108,7361,190407.3553,542462.9514,구로-공단-000105,52201,N,20241002172303,POINT (126.89154382762165 37.4815591081306),126.89154382762165,37.4815591081306
2113,110085403,1105107,7362,207876.0295,550918.5028,광진-중곡-000141,52201,N,20240911171506,POINT (127.08913841678486 37.557760018995936),127.08913841678486,37.557760018995936
2114,110085385,1103109,7366,201019.6894,552380.8333,종로-숭인-6-68(?,52201,N,20240910170747,POINT (127.01154256184313 37.570968646199155),127.01154256184313,37.570968646199155
2115,110085490,1119108,7681,189503.3162,543015.5422,구로-공단-000106,52201,N,20240911171506,POINT (126.8813147420046 37.48652816338557),126.8813147420046,37.48652816338557
2116,110085508,1127303,7368,201713.4861,549780.5264,성동-금호-000008,52201,N,20240910170747,POINT (127.01939004874438 37.54753892966038),127.01939004874438,37.54753892966038
2117,110085516,1102103,7369,194766.289,545038.441,동작-상도-000403,52201,N,20240924174257,POINT (126.94080837449846 37.50479940162988),126.94080837449846,37.50479940162988
2118,110085513,1123103,7370,195518.6287,555491.7827,서대문-홍은-148(,52201,N,20241014170658,POINT (126.94925327756442 37.59898774108718),126.94925327756442,37.59898774108718
2119,110085520,1102104,7371,198197.3123,543169.1749,동작-백운-000401,52201,N,20240928171131,POINT (126.9796167427248 37.48797026086933),126.9796167427248,37.48797026086933
2120,110085532,1116103,7372,193599.5529,542506.632,관악-신림-000187,52201,N,20241010170938,POINT (126.92763497737873 37.48198029110739),126.92763497737873,37.48198029110739
2121,110080891,1104106,1573,201039.5567,551191.8494,중부-신당-000139,52201,N,20241001170335,POINT (127.01176576838803 37.56025592577142),127.01176576838803,37.56025592577142
2122,110081610,1118102,1615,211651.7943,549388.4397,강동-천호-000083,52201,N,20240926171119,POINT (127.1318469581752 37.5439342174659),127.1318469581752,37.5439342174659
2123,110080230,1114104,1734,203343.4052,543701.1597,강남-역삼-000035,52201,N,20240914171115,POINT (127.03780679170755 37.49275919329249),127.03780679170755,37.49275919329249
2124,110081470,1109102,1788,199421.4057,555160.3021,성북-돈암-55(비),52201,N,20240911171506,POINT (126.99344830097593 37.596011857808556),126.99344830097593,37.596011857808556
2125,110080611,1100106,1842,197895.3288,550983.3055,중부-회현-000270,52201,N,20240908171400,POINT (126.97617979731261 37.55837513479118),126.97617979731261,37.55837513479118
