,자치구,접수시각,소방서_거리,사망자수,부상자수,발화원인_대분류,접수시각_년원일,접수시각_년월일
389,은평구,20230104001026,1,0,0,"차량, 선박부품",20230104001026,20230104
390,관악구,20230115123406,4,0,0,계절용 기기,20230115123406,20230115
391,종로구,20230126100702,1,0,0,,20230126100702,20230126
392,강남구,20230105152443,5,0,0,,20230105152443,20230105
393,송파구,20230114081408,1,0,0,배선/배선기구,20230114081408,20230114
394,중구,20230113215706,3,0,0,계절용 기기,20230113215706,20230113
395,송파구,20230117062548,0,0,0,,20230117062548,20230117
396,강남구,20230130043229,3,0,0,,20230130043229,20230130
397,마포구,20230125214009,1,0,0,계절용 기기,20230125214009,20230125
398,강남구,20230129085109,7,0,0,,20230129085109,20230129
399,성북구,20230115125427,4,0,0,,20230115125427,20230115
400,중랑구,20230114115842,2,0,0,,20230114115842,20230114
401,성동구,20230114083426,3,0,0,,20230114083426,20230114
402,동대문구,20230117151144,4,0,0,계절용 기기,20230117151144,20230117
403,영등포구,20230117121705,1,0,0,,20230117121705,20230117
404,송파구,20230130014707,3,0,0,전기설비,20230130014707,20230130
405,서대문구,20230129145356,2,0,0,,20230129145356,20230129
406,도봉구,20230115142819,2,0,0,,20230115142819,20230115
407,영등포구,20230115202945,2,0,0,,20230115202945,20230115
408,동대문구,20230119103550,1,0,0,,20230119103550,20230119
409,영등포구,20230114154947,2,0,0,,20230114154947,20230114
410,노원구,20230114094807,3,0,0,배선/배선기구,20230114094807,20230114
411,중랑구,20230129101436,3,0,0,,20230129101436,20230129
412,강남구,20230128124031,1,0,0,,20230128124031,20230128
413,은평구,20230115110718,2,0,0,,20230115110718,20230115
414,금천구,20230219165611,2,0,0,,20230219165611,20230219
415,서초구,20230119191145,3,0,0,,20230119191145,20230119
416,광진구,20230126172444,2,0,0,,20230126172444,20230126
417,송파구,20230125223948,4,0,0,,20230125223948,20230125
418,양천구,20230114210322,2,0,0,,20230114210322,20230114
419,은평구,20230116141401,0,0,0,,20230116141401,20230116
420,마포구,20230115124730,4,0,0,,20230115124730,20230115
421,용산구,20230218122301,1,0,0,,20230218122301,20230218
422,마포구,20230219023559,3,0,0,,20230219023559,20230219
423,구로구,20230111190433,2,0,0,주방기기,20230111190433,20230111
424,은평구,20230117151727,1,0,0,주방기기,20230117151727,20230117
425,서초구,20230125113345,2,0,0,,20230125113345,20230125
426,용산구,20230114212509,3,0,0,,20230114212509,20230114
427,강북구,20230126095137,1,0,0,계절용 기기,20230126095137,20230126
428,마포구,20230129234659,0,0,0,,20230129234659,20230129
429,강서구,20230115200718,0,0,0,계절용 기기,20230115200718,20230115
430,동작구,20230126072522,1,0,0,,20230126072522,20230126
431,영등포구,20230129220607,2,0,1,,20230129220607,20230129
432,도봉구,20230115112153,2,0,0,,20230115112153,20230115
433,송파구,20230219170958,1,0,0,,20230219170958,20230219
434,성동구,20230217080329,4,0,0,,20230217080329,20230217
435,마포구,20230126131439,1,0,0,,20230126131439,20230126
436,성북구,20230130140130,3,0,0,,20230130140130,20230130
437,관악구,20230219021350,2,0,0,,20230219021350,20230219
438,동작구,20230218202422,6,0,0,,20230218202422,20230218
439,서대문구,20230114205830,2,0,0,,20230114205830,20230114
440,강서구,20230117032252,1,0,0,,20230117032252,20230117
441,서초구,20230125210557,5,0,1,,20230125210557,20230125
442,종로구,20230130114516,2,0,0,,20230130114516,20230130
443,노원구,20230217174032,2,0,0,,20230217174032,20230217
444,금천구,20230115072831,2,0,0,,20230115072831,20230115
445,은평구,20230114084624,0,0,0,전기설비,20230114084624,20230114
446,송파구,20230217110304,1,0,0,,20230217110304,20230217
447,은평구,20230216133320,4,0,0,,20230216133320,20230216
448,은평구,20230114133052,0,0,0,,20230114133052,20230114
449,중구,20230129181058,3,0,0,,20230129181058,20230129
