,X좌표,Y좌표,비상소화장치고유번호
342,204298.6627,556617.6661,성북-장위-114(비
343,205249.6686,557341.2136,성북-장위-115(비
344,203728.0854,557427.9029,성북-장위-117(비
345,203862.4735,557526.0924,성북-장위-118(비
346,207563.664,551044.2155,광진-중곡-000091
347,201241.1746,550291.8509,중부-신당-217(비
348,199573.1437,551957.5093,중부-을지-000218
349,199573.8772,552037.0133,중부-을지-000219
350,201098.865,552787.3677,종로-숭인-6-61(?
351,201227.1849,552302.2787,종로-숭인-6-21(?
352,203033.7992,553912.0925,동대문-용두-059(
353,201042.534,552631.7493,종로-숭인-6-59(?
354,201547.2457,551967.5788,중부-현장-000228
355,199537.9387,551583.6372,중부-을지-000229
356,201238.5323,551552.4379,중부-현장-000207
357,201493.9969,551958.2122,중부-현장-000214
358,197099.0255,551106.5966,중부-회현-000254
359,201252.3469,551100.7316,중부-현장-96(비)
360,197022.6295,551139.5697,중부-회현-000057
361,198025.8406,550745.9266,중부-회현-000397
362,197988.1641,551220.6754,중부-회현-000182
363,207212.5845,549167.9936,광진-현장-000111
364,199255.2749,551210.3423,중부-충무-000215
365,204765.0195,549961.9887,성동-성수-000112
366,206187.3228,549507.37,광진-능동-000113
367,206425.2542,549846.3267,광진-능동-000114
368,207156.8654,552125.3313,광진-중곡-000115
369,202571.6649,551302.3771,성동-왕십-000116
370,208297.1044,550740.7231,광진-중곡-000120
371,207500.057,550282.75,광진-능동-000123
372,202081.3156,550022.2045,성동-금호-000121
373,207476.7042,554023.3054,중랑-망우-3-11(?
374,208089.8733,554470.7599,중랑-망우-3-30(?
375,207979.4764,554459.4663,중랑-망우-3-31(?
376,209083.9188,554504.1943,중랑-망우-3-32(?
377,208408.9889,553641.9886,중랑-면목-2-22(?
378,195196.1112,544451.3245,동작-상도-000284
379,196042.6983,545102.2436,동작-노량-000285
380,198247.5344,542953.2007,동작-백운-000288
381,195354.5349,544299.9325,동작-상도-000289
382,197393.1079,541991.6508,동작-백운-000290
383,194403.616,545327.5767,동작-노량-000292
384,194302.0963,543869.7645,동작-상도-000293
385,191646.741,542868.7637,동작-현장-000294
386,198170.455,543357.8419,동작-노량-000295
387,193753.6272,544106.3841,동작-현장-000296
388,194465.8093,545780.8302,동작-노량-000299
389,195353.4267,545708.8405,동작-노량-000301
390,194996.9401,545849.3386,동작-노량-000303
391,194434.0407,545566.9323,동작-노량-000304
392,194003.2878,544803.3841,동작-상도-000306
393,194419.6857,544363.3036,동작-상도-000307
394,196220.4375,545751.3181,동작-노량-000319
395,194363.8801,543730.8016,동작-상도-000318
396,197403.8582,544996.3123,동작-노량-000324
397,197091.4735,544922.0935,동작-노량-000321
